pitcher,0,1,2,3,4,5,6,7,8,pca_0,pca_1,pca_2,tsne_0,tsne_1,tsne_2,IDmlbam,WAR,Name_x,Name_y
462136,0.7487302,-1.1673678,0.99896395,0.4780341,-0.84133506,0.78177994,1.8303771,0.7346264,0.395171,-1.2972534518153067,-0.565187578406095,-0.6169199974708033,-22.564112,-15.855629,-0.50783724,462136.0,5.300000000000001,Marco EstradaMarco Estrada,Marco Estrada
506433,0.40937686,0.04363584,-0.6895733,-0.06348371,-0.47672367,-0.50227225,-0.12178318,-0.019908387,-0.9951406,0.6187079216346352,-0.423557504745218,0.22791947884572766,2.478812,-7.9744763,-8.779957,506433.0,16.1,Yu DarvishYu DarvishYu DarvishYu DarvishYu Darvish,Yu Darvish
571578,0.16700566,-0.19480325,-0.80018866,1.3247325,0.8983927,-0.05788094,0.07656492,-0.38816425,-0.097132795,-0.0032952877804700697,-0.7345746267288105,0.8951640489931647,1.4593074,-12.7604065,6.600358,571578.0,15.8,Patrick CorbinPatrick CorbinPatrick CorbinPatrick CorbinPatrick CorbinPatrick Corbin,Patrick Corbin
593372,2.4319003,0.82139146,-0.85803133,-0.5286029,-1.0068032,0.3474042,-0.5596733,0.9213984,0.42466116,1.325238806100135,0.6121414963125751,-0.817737731227453,21.67681,16.639357,-5.523102,593372.0,6.4,Carlos MartinezCarlos Martinez,Carlos Martinez
592836,1.1615616,1.0281701,0.46705654,2.0213034,-0.29128096,-0.21850592,0.091633976,0.12798493,-2.2055128,2.2365716974992402,-1.3023311246525404,0.6296274729291989,21.46242,-5.6274705,-6.8229017,592836.0,2.5,Taijuan Walker,Taijuan Walker
607074,0.109475516,-0.45443168,1.083809,-1.5767838,-0.48535532,0.13912371,0.045597065,-0.7354973,-1.8973422,0.40699971633369897,-0.9683176185715855,-1.5764913912994727,16.147762,-9.131877,-18.920229,607074.0,8.9,Carlos RodonCarlos Rodon,Carlos Rodon
518452,0.005152725,0.7790665,-0.29939526,0.87041354,-0.31826234,-1.5648677,0.51448476,0.3125359,-0.14767091,0.6052506270153051,0.40980901920105084,1.7324907582230293,5.9706507,0.19372016,22.321096,518452.0,2.5,Chad Bettis,Chad Bettis
488768,-1.030647,0.82842803,0.40796083,-1.3688315,-1.2016406,-1.6383423,0.24692021,0.92221147,1.6876643,-0.5401518142318611,2.5287427780581906,0.86954072371511,3.5315933,13.969021,16.31216,488768.0,2.2,Andrew Cashner,Andrew Cashner
518516,0.13507833,0.27701226,-0.32687587,-0.051086787,1.4621247,0.19551535,-0.28542283,-1.2851557,1.468466,-0.2853978074317756,0.5686072423853455,-0.05883538587737723,-5.528963,13.359594,-1.3970156,518516.0,7.6,Madison BumgarnerMadison Bumgarner,Madison Bumgarner
570649,0.5646357,1.0328203,-0.09531729,0.4662503,0.49079877,-0.63424957,1.0484464,0.8485746,1.0315531,0.31594355298374655,0.4756906045480632,1.285834924911009,10.608422,-2.9976504,10.207345,570649.0,1.6,Yordano Ventura,Yordano Ventura
501381,1.4940938,-0.7575584,0.33125484,0.8049204,-1.6416126,-1.1525694,1.1558281,-1.8191324,0.32907882,-0.49480329978559917,0.6725925903782507,-0.24871182432937972,4.840588,24.808657,6.600829,501381.0,3.2,Michael Pineda,Michael Pineda
502042,1.2763524,-0.3690968,-0.66247976,-0.62273574,-0.15991646,1.5169932,1.1648766,0.96684104,-0.77289486,0.11753422936260399,-1.6049365270554001,-1.0015547308871018,-0.31013933,-11.661231,-19.702187,502042.0,7.4,Chris ArcherChris Archer,Chris Archer
500779,-0.33095482,0.80463976,-0.041037455,-2.1061122,-1.1127349,-0.33293435,1.4658432,1.813639,-0.8994789,0.44436517292429994,-0.16504595523114757,0.10679049768262805,21.050974,-20.334948,-1.2565765,500779.0,18.0,Jose QuintanaJose QuintanaJose QuintanaJose QuintanaJose Quintana,Jose Quintana
476451,0.40308297,0.124759965,-0.71847504,0.028231643,-0.094861686,1.4439559,-1.4338313,0.8717598,0.10399135,0.5239024601947758,-0.04857230115640751,-0.8618552634000458,9.173759,1.2430615,-13.263301,476451.0,3.6999999999999997,Jeremy HellicksonJeremy Hellickson,Jeremy Hellickson
608665,0.48254654,0.76401573,-0.12638374,1.8732175,1.342261,0.07814765,0.096488304,0.35386518,-0.84190834,1.2034558697368003,-1.2670032906954172,1.219809212894469,19.993683,-9.888145,11.300179,608665.0,1.9,Kendall Graveman,Kendall Graveman
502043,-1.1651651,0.7115108,-0.21013094,-0.8114932,-0.0869084,-0.75919485,0.79136056,-0.07592721,1.8073392,-0.8020345705140989,1.7102430315528259,0.8472605253133204,2.2041688,14.745265,19.16074,502043.0,10.4,Kyle GibsonKyle GibsonKyle GibsonKyle GibsonKyle Gibson,Kyle Gibson
518633,1.0199281,-0.17430128,-0.38724428,0.32497814,-1.2519376,-0.044833414,-0.9496665,0.07326534,-0.65541774,0.7070813278766606,0.11775918915965387,-0.5394462218109537,16.427588,-0.7573782,-8.447151,518633.0,2.9,Danny Duffy,Danny Duffy
474463,-1.4018928,1.0768661,-0.5300988,1.9588704,-1.5043374,0.87621355,-0.5102768,0.47558153,-0.35677058,0.8419836367183079,0.6448845495536687,0.6532121106119959,16.60833,4.497171,23.471415,474463.0,2.0,Brett Anderson,Brett Anderson
628711,2.127058,1.901074,-1.2091782,0.4248855,0.05944658,0.28445566,0.089086175,-0.5156172,-0.18284547,2.2927109035354314,0.0019673038398927067,-0.027077698550378178,26.937279,-5.748647,3.5050478,628711.0,8.2,Julio UriasJulio Urias,Julio Urias
