batter,0,1,2,3,4,5,6,7,8,pca_0,pca_1,pca_2,tsne_0,tsne_1,tsne_2,IDmlbam,WAR,Name_x,Name_y
607043,0.34388486,-1.2089264,1.807789,-0.34342864,1.1745901,-0.5329382,1.1532592,-0.32957172,2.0755713,0.20665474235886258,0.45493974359359507,0.31903894489272955,11.595969,16.846897,18.906836,607043.0,16.1,Brandon NimmoBrandon NimmoBrandon NimmoBrandon Nimmo,Brandon Nimmo
520471,1.172464,-1.7276701,0.9083016,0.73092943,-0.36181816,-0.36525854,0.24471089,3.9381013,0.47916502,-0.658675065181758,0.32930842191631693,-0.9374757519724352,-11.844001,15.93794,-22.389719,520471.0,7.9,Freddy GalvisFreddy GalvisFreddy GalvisFreddy Galvis,Freddy Galvis
596748,-1.0136974,0.92196715,1.7691672,-0.18636487,0.05544172,-1.4276279,1.1203644,-0.10525414,-2.722559,-0.8699359290546023,1.0381735607340508,-0.8836420905569115,-10.19198,8.449803,-13.067598,596748.0,1.8,Maikel FrancoMaikel FrancoMaikel Franco,Maikel Franco
546318,-0.8509162,0.11271376,-0.91560835,0.38124558,1.0037638,-0.5791765,0.07698179,1.0530198,-0.19626296,0.10717006084376222,0.44148245127027336,-0.1591105007202933,-1.0049973,3.5811777,-1.7297083,546318.0,7.8,Odubel HerreraOdubel HerreraOdubel Herrera,Odubel Herrera
514917,-0.9720408,-0.5031652,-0.07349681,0.050289284,1.4614307,-1.0432276,-0.03602482,-0.34489137,-0.831557,0.2676327514397399,0.1034296227523107,-0.8162913333051859,-1.5906447,3.4231544,-11.398837,514917.0,14.0,Cesar HernandezCesar HernandezCesar HernandezCesar HernandezCesar HernandezCesar HernandezCesar Hernandez,Cesar Hernandez
457803,-1.8058835,2.1504586,-0.10564444,-0.94577056,-0.2839121,0.9109571,1.0724176,0.6501414,1.043758,0.16765099167706216,2.400684841978634,1.647722863929128,-1.7989395,16.915833,24.89583,457803.0,3.5,Jay BruceJay Bruce,Jay Bruce
434158,-0.90583986,-0.2560842,1.1601223,-1.2283366,0.050438516,2.054404,-2.2517607,1.6225184,1.9421779,2.0778337774929376,0.7558174913803298,-0.18170124837104693,16.250917,17.067768,5.221741,434158.0,4.5,Curtis GrandersonCurtis Granderson,Curtis Granderson
452678,-0.56972784,-0.30902693,-1.3982981,-0.2331621,0.065593384,1.1485742,1.4717469,-0.39533243,-1.7978411,-1.3262982502789078,1.2017952195362074,-1.2471775476578006,-19.701662,12.680306,-7.519477,452678.0,10.4,Asdrubal CabreraAsdrubal CabreraAsdrubal CabreraAsdrubal CabreraAsdrubal Cabrera,Asdrubal Cabrera
641313,1.315985,0.96251,1.3224764,-1.2768377,-0.036854934,0.009956764,1.183747,0.085161366,-1.0112343,-2.003832108684711,0.028427555082143688,-0.0909114390206029,-24.647408,5.479734,-1.2131146,641313.0,14.2,Tim AndersonTim AndersonTim AndersonTim AndersonTim AndersonTim Anderson,Tim Anderson
594809,0.79936314,0.7982079,0.8704085,0.004626583,0.8500541,-0.34523484,-1.7133361,-1.0747504,0.9201566,1.2436091613908933,-1.8655800327135945,0.5314120308119643,17.300285,-17.823675,2.3312554,594809.0,9.1,Adam EatonAdam Eaton,Adam Eaton
593934,0.15082902,0.053935133,-0.18036628,-0.57193744,-0.059874393,0.81365937,2.2447896,-2.608073,-0.31303945,-1.1716027109219744,0.7687209368005632,0.11088020986161572,-6.907102,24.30585,1.30569,593934.0,1.7000000000000002,Miguel SanoMiguel Sano,Miguel Sano
543257,1.3161501,1.1133578,-0.5387425,-1.328107,-1.4997228,-0.6102214,1.7953738,0.12740725,0.31087205,-2.3426609086878303,0.29002467849764413,2.0142725750485035,-21.418509,-0.7838456,17.312878,543257.0,3.9,Robbie GrossmanRobbie Grossman,Robbie Grossman
593871,0.51730496,1.1370639,-0.7364757,-0.03263504,-1.5491434,0.058249976,0.30807793,0.46363142,-1.2456889,-1.0830416319732563,-0.029948535920341364,0.4377042225032612,-12.147648,0.4676745,11.949887,593871.0,9.799999999999999,Jorge PolancoJorge PolancoJorge PolancoJorge Polanco,Jorge Polanco
621439,0.4097305,-0.3349082,1.0297049,-1.1860279,-1.1026689,1.0548754,0.007381138,-0.40202615,-1.2096281,-0.6989117995485412,0.32715060218763414,-0.9230586133879258,-17.619843,-2.8475382,-15.090551,621439.0,4.4,Byron Buxton,Byron Buxton
570560,1.6111788,-1.0239902,-0.4580869,-0.9789073,-1.9449712,0.11408962,1.0367903,-0.8106565,2.4572766,-0.8100578214670688,-0.1607688184883663,2.0868665188674225,-22.348186,-5.256062,21.659187,570560.0,4.9,Yolmer SanchezYolmer SanchezYolmer Sanchez,Yolmer Sanchez
453943,1.5483762,-0.18156125,-0.22075622,1.0150732,0.70039433,0.073941514,1.6085722,1.091376,0.09336271,-1.412612106559306,-0.21506024005877497,-0.4029929551197863,-26.867107,-1.0699836,2.434611,453943.0,6.300000000000001,Todd FrazierTodd Frazier,Todd Frazier
541645,0.68405986,-0.97692287,0.11806758,0.22331391,-0.28333563,-1.531474,-1.2711314,-0.70027816,-0.15938112,0.545319326143935,-1.6513864766093835,0.014241725864135428,12.716344,-21.582644,2.132922,541645.0,10.1,Avisail GarciaAvisail GarciaAvisail GarciaAvisail Garcia,Avisail Garcia
596146,0.20197938,-2.0051231,0.69335884,-0.4062793,0.28169903,1.5642989,0.94105685,1.391467,-1.8268446,-1.2909045870467935,1.2237092198833297,-2.9517607635781276,-5.479678,22.778072,-16.926935,596146.0,9.6,Max KeplerMax KeplerMax KeplerMax Kepler,Max Kepler
547989,0.77822673,-0.8701135,-0.31966877,-0.7955663,-1.8832709,0.5869232,-0.7551505,-1.0193495,-0.0032885706,-0.028411546192062376,-0.6411118973302924,0.21260461334986497,-5.1105433,-11.188329,4.945937,547989.0,18.1,Jose AbreuJose AbreuJose AbreuJose AbreuJose AbreuJose AbreuJose AbreuJose Abreu,Jose Abreu
466320,0.75514364,1.5672625,0.5096195,-1.6049377,0.67135954,-0.2672267,-0.022527123,1.5843521,0.548272,-1.1263925347414434,-0.03787131580712942,1.0021031885301548,-11.662147,2.78456,17.04252,466320.0,1.7000000000000002,Melky CabreraMelky Cabrera,Melky Cabrera
500871,1.188626,-0.31472278,-0.9142538,0.18023935,0.041389365,2.2948606,0.23951758,-0.12655196,1.3475142,-0.09716219602483879,-0.24781771207167874,-0.10127631220932409,2.9053645,-12.055849,-1.3373688,500871.0,10.8,Eduardo EscobarEduardo EscobarEduardo EscobarEduardo EscobarEduardo Escobar,Eduardo Escobar
453568,1.5547643,0.6551742,0.517179,0.09344033,0.8249529,1.3028014,0.22167136,0.7529952,0.68509,-0.5484382548731409,-0.5584824241331595,-0.26945557546396104,-4.828623,-21.347942,11.794602,453568.0,14.100000000000001,Charlie BlackmonCharlie BlackmonCharlie BlackmonCharlie BlackmonCharlie BlackmonCharlie BlackmonCharlie Blackmon,Charlie Blackmon
606115,-2.0291305,1.0815624,1.1903005,-1.3418821,-0.43652743,-1.1163437,-1.1686064,0.56466216,0.89912397,1.4966766941667082,1.1123612701115488,1.5159718167236786,23.089119,6.56505,20.286442,606115.0,4.1,Orlando ArciaOrlando ArciaOrlando ArciaOrlando Arcia,Orlando Arcia
570267,0.7442992,0.47237703,0.33562452,0.17757317,0.2681206,-1.261127,0.40864304,-1.1221743,-0.64312017,-0.5661355095684254,-0.9553049758535961,0.28321043169076904,-18.007992,-9.84678,7.2237625,570267.0,3.8,Domingo SantanaDomingo Santana,Domingo Santana
471865,0.21574451,1.0817009,0.64515585,-1.0951501,-0.14021541,0.21784627,-0.47845507,0.5539254,-1.140757,-0.6565112744616649,-0.044599198509775236,-0.2594793864458805,-8.090318,-3.1633987,-6.0867496,471865.0,1.9000000000000001,Carlos GonzalezCarlos Gonzalez,Carlos Gonzalez
571448,0.919847,-0.47110748,-1.2512833,0.7602976,-0.13064599,-0.23581228,0.3542132,1.4435934,-1.6706398,-1.371927792154191,-0.47031222027303227,-1.1059145168141584,-5.4803576,-18.647078,-14.521177,571448.0,39.1,Nolan ArenadoNolan ArenadoNolan ArenadoNolan ArenadoNolan ArenadoNolan ArenadoNolan ArenadoNolan Arenado,Nolan Arenado
474892,3.2579148,0.2753363,0.79810053,0.55359685,-1.4611592,1.6440122,-0.14137697,0.9628948,0.43454096,-0.9929385999010278,-1.5382766992066104,-0.14825139399370388,-6.545296,-21.193085,2.545741,474892.0,1.9,Chris Carter,Chris Carter
542340,1.0839316,0.53830624,-0.86639196,-0.122974634,-0.7730363,0.23008803,0.16629222,0.34762996,0.04320537,-0.8653859091217712,-0.5217748178325913,0.6369280628753465,-10.1658325,-0.9246123,13.220856,542340.0,10.3,Jonathan VillarJonathan VillarJonathan VillarJonathan VillarJonathan Villar,Jonathan Villar
606132,-1.8900148,1.9907297,1.3892154,-1.2673155,1.2227774,-0.0026842633,-0.79126626,-0.7166546,0.48827866,1.3962134304148328,0.8720882158922897,0.7647511273515438,18.134909,10.579304,9.6809435,606132.0,1.2999999999999998,Raimel TapiaRaimel Tapia,Raimel Tapia
571697,-0.21657439,0.3021752,-0.14697467,0.30858594,0.15982743,-0.7945519,-0.13118145,-0.7484809,1.5470377,0.9420781925945355,-0.31091105264666147,1.3865567365579112,10.799735,2.1878932,20.328121,571697.0,4.3,Scooter GennettScooter Gennett,Scooter Gennett
571506,-0.44427982,-0.13548316,0.4609785,0.35131213,-0.5626517,-0.0762272,0.34561235,-0.51147765,1.7604287,1.0560583927667762,0.5495477317642,1.1570470338144225,11.433673,5.221271,19.42494,571506.0,0.3,Justin Bour,Justin Bour
592885,0.938199,-1.3158091,0.34603012,-0.44092518,0.65460515,0.42275912,-0.9748042,1.9179658,-0.49510056,-0.4254285780234737,-0.563512780167765,-1.6211949943345814,-15.813796,1.3572819,-23.01265,592885.0,31.1,Christian YelichChristian YelichChristian YelichChristian YelichChristian YelichChristian YelichChristian Yelich,Christian Yelich
