1-tsne,2-tsne,3-tsne,batter_id,batter
14.155138,-7.501235,-22.945507,322,592178
9.483506,5.2090154,16.927094,323,451594
11.237104,13.814298,7.842035,324,543294
-23.591387,-10.493317,-0.08877506,325,518792
12.363835,14.061488,20.373808,326,596112
9.017273,10.457596,7.4627285,327,458731
-13.020217,24.337318,13.392918,328,456714
-16.974667,8.744641,-22.06667,329,591720
-18.0223,-8.420714,0.999409,330,448801
-1.5232172,-27.654955,-8.526166,331,446308
3.413562,8.701512,-29.697182,332,444432
34.412186,-11.007313,7.7728024,333,543305
-14.650263,-2.9100962,3.048807,334,544369
-8.327694,7.413409,-28.708618,335,592122
29.41293,-20.148335,7.645641,336,435263
10.474963,23.975185,12.3925705,337,596142
-19.84394,-9.466965,-13.339475,338,453056
12.997238,-0.7433082,15.657821,339,592518
-1.3913791,-8.873712,-3.7224169,340,430945
-1.3611573,15.494332,17.072842,341,456422
1.5393823,-11.518591,-17.846413,342,456781
15.79634,-15.885937,33.98505,343,429666
5.3630085,-19.615084,-11.15845,344,547957
9.856794,32.620163,-8.293841,345,570731
23.167082,19.956701,12.261647,346,407893
22.635632,18.878973,-4.2903104,347,593523
-5.586867,2.0011148,10.625018,348,543768
-9.127976,11.713399,16.086422,349,543877
-0.889283,3.5619988,-11.926379,350,431094
26.155294,-8.722025,-8.606507,351,519048
28.818447,11.352655,11.71347,352,543543
-20.894644,-4.369125,10.361305,353,435064
-1.474852,12.88887,36.491802,354,545338
-19.42599,23.477703,-6.7180734,355,595281
-31.91084,5.0617366,19.628325,356,435622
42.571842,-9.048043,0.5212825,357,596059
-35.010376,27.800741,1.5715797,358,445055
37.66499,8.063225,-17.08621,359,519083
1.8931347,-29.851498,14.8964405,360,641319
-24.624716,-22.331882,-26.41682,361,506560
20.306961,8.352407,19.535843,362,591712
-24.475634,-11.691952,7.3523703,363,605151
12.080406,-9.423028,14.426387,364,453385
-39.86193,6.561092,-6.975595,365,607732
0.024740769,4.266061,36.933746,366,605137
7.134152,-0.061026286,-24.3781,367,407812
0.7446403,2.052541,17.731857,368,571757
-12.171362,30.960535,8.190253,369,446481
25.573914,19.674597,8.674923,370,641771
24.793036,20.544876,-6.5013795,371,443558
-16.975971,-26.2263,-5.043887,372,491696
35.282898,-9.157208,-10.424523,373,547982
11.206291,30.445913,-16.919645,374,452252
-22.525877,25.537453,-11.313765,375,501981
3.0791693,8.504471,-5.1757236,376,493114
-7.9747887,-23.699537,2.743966,377,502143
-35.387325,27.978643,4.2266192,378,606466
17.420906,-22.422426,-2.6694245,379,452234
0.31860498,6.8982973,38.09963,380,493316
-14.874684,-23.007359,11.766842,381,408314
36.31078,-1.8346066,-16.042263,382,518595
18.430988,12.208408,-24.0654,383,573131
33.632626,20.672653,-0.30762115,384,608061
21.952396,-21.843462,-2.4008172,385,112526
-22.443705,20.057768,9.697029,386,607309
-18.228527,-8.663494,-14.284394,387,503437
26.93608,13.057647,6.203005,388,518542
0.8226369,20.720072,-36.356106,389,544725
-37.12566,4.315653,-7.7474256,390,572821
-4.0363674,-19.339897,31.337254,391,460075
17.908516,-6.5786014,-11.167027,392,455117
6.161453,-13.787291,-25.525269,393,547172
6.316726,-12.515858,33.098015,394,503449
-23.314642,19.651804,3.609587,395,656546
15.29188,0.7606499,6.678778,396,605439
22.997244,-32.20056,6.0046477,397,425772
-24.504328,-25.350002,7.7428455,398,543685
-3.8809092,-16.788067,39.779774,399,571718
-1.38807,10.119507,-28.265617,400,500743
-24.312225,23.735804,3.0183446,401,572191
-17.95523,25.220802,0.52656186,402,543699
21.72415,4.037189,1.0728532,403,612672
-18.315416,31.144184,-19.738108,404,493596
-29.875767,-2.1288385,29.339722,405,491676
-1.7054683,-12.065948,26.086554,406,621389
33.289997,0.96500295,7.9569826,407,477132
-12.7198715,-7.7814817,-26.950178,408,594828
-20.238058,-18.117191,-0.080654375,409,621043
-7.39422,15.822677,18.008907,410,493329
-6.8012643,6.0066786,1.2486812,411,492802
33.096798,-7.4664984,-4.392876,412,457454
-37.375637,-13.818119,18.336636,413,489232
0.7698044,-25.890287,-14.526649,414,430947
-10.619319,23.14394,-33.863262,415,570615
25.440172,24.069445,6.0293994,416,594760
-7.105508,24.61007,6.318752,417,519455
1.66242,-6.8305683,27.057514,418,570481
15.437881,11.917621,-8.309913,419,547379
-14.853176,-19.152857,15.659679,420,501659
28.28421,-16.35867,4.2294827,421,592731
-37.86104,6.403041,-18.385471,422,424325
5.3184333,11.532601,12.957799,423,452657
-31.119856,9.484132,23.656227,424,534947
17.162302,2.2536666,23.675776,425,476883
-11.012046,-11.440658,-33.629124,426,519222
11.06586,6.675087,36.974358,427,452104
-21.426563,-8.211283,-15.881666,428,516770
19.487598,-13.832504,-32.285732,429,608701
11.087936,-31.404871,-2.94352,430,425900
34.7629,2.83125,7.8342223,431,475253
-4.841348,-2.1469991,-29.143827,432,578570
-1.6729628,41.951874,5.723926,433,456078
16.944756,-28.954203,5.2948604,434,571578
-10.706842,-28.275263,26.32527,435,593647
-14.581241,-16.701696,7.169812,436,429719
7.4468017,31.822536,-29.548738,437,640463
