1-tsne,2-tsne,batter_id,batter
49.46014,5.1438437,266,605480
-14.732705,-34.985054,267,621020
-22.79776,22.651026,268,607054
6.8851595,-38.975784,269,543510
11.293915,15.414651,270,592206
-11.570721,5.995113,271,452095
-36.330868,11.763405,272,455976
25.482685,-46.638016,273,461314
-24.411152,-37.871807,274,527054
6.113776,31.401663,275,434378
-1.5765762,-4.748605,276,449181
31.529339,-28.170567,277,521692
-16.096966,-39.28386,278,537953
34.158127,21.386312,279,571980
-25.49677,23.26385,280,434658
17.957611,-3.7418778,281,502082
-22.951717,25.870935,282,593160
20.089233,2.7151744,283,542993
38.116802,12.139518,284,460077
6.6732254,-3.2722259,285,608070
12.897908,-37.5214,286,435063
32.476204,-41.691086,287,596019
23.882462,37.063034,288,543401
-12.214934,13.739729,289,467793
6.1158714,27.64251,290,424825
10.12863,22.681551,291,596144
-19.262938,-14.221462,292,444876
-28.855867,1.7861587,293,460086
-22.38133,-21.186134,294,434778
10.162979,-13.197227,295,502481
-3.8624902,32.191814,296,543228
34.738888,-32.710155,297,454975
25.670708,-7.7771144,298,573113
12.516356,21.59468,299,571466
-20.10013,29.262108,300,575929
-29.730255,25.256933,301,471083
48.35302,13.465167,302,519333
8.35818,-27.75662,303,493128
-6.2647614,47.271133,304,546991
34.056835,-25.795074,305,458085
-12.188435,48.59138,306,595879
39.413975,-21.357521,307,553993
-29.709644,5.1164355,308,594988
-3.1556754,19.178865,309,594807
22.055994,-35.494713,310,458015
42.304695,4.9543047,311,600303
0.6684572,37.868378,312,543148
27.11184,43.092354,313,475243
19.752737,29.861124,314,474443
-17.250284,-39.150284,315,606299
-48.962387,5.947946,316,541608
-43.30964,-17.823776,317,624585
16.439991,18.522423,318,608365
32.20662,-19.010399,319,450314
-37.54801,7.3775897,320,519203
-12.067071,18.19541,321,623182
10.78444,-17.845589,322,592178
-7.037925,16.138906,323,451594
-15.058137,24.484217,324,543294
-13.570114,13.11606,325,518792
21.098381,5.2165346,326,596112
-13.930209,23.453703,327,458731
-5.0661807,23.32411,328,456714
-35.523453,6.387421,329,591720
-16.491959,-6.661194,330,448801
10.675858,-37.609337,331,446308
8.460091,2.8070912,332,444432
36.222435,-19.694754,333,543305
-15.677054,-3.8979895,334,544369
-0.37788484,38.606373,335,592122
37.8599,-27.382719,336,435263
-6.107671,29.487541,337,596142
-10.85881,-30.741884,338,453056
7.2899957,13.751447,339,592518
8.146732,-22.99941,340,430945
1.4087912,20.14094,341,456422
2.7734735,-22.583101,342,456781
18.199974,-19.985933,343,429666
3.0196877,-30.954226,344,547957
4.9727335,45.899464,345,570731
40.247852,16.65673,346,407893
32.670033,23.209291,347,593523
-1.961755,10.51971,348,543768
-2.5299802,16.968563,349,543877
-12.744364,1.162564,350,431094
24.228693,-13.468256,351,519048
35.497612,17.571156,352,543543
-14.180986,3.3883262,353,435064
-23.244879,10.150425,354,545338
-3.0527947,36.3797,355,595281
-46.824284,9.860596,356,435622
44.639698,4.2162914,357,596059
-3.415815,-23.943913,358,445055
26.400925,10.831038,359,519083
-41.66789,-28.640604,360,641319
-23.191078,18.957886,361,506560
10.604514,30.378876,362,591712
-35.909386,-26.734646,363,605151
35.207348,-20.94459,364,453385
-32.666653,-37.494316,365,607732
-22.636843,-3.3198004,366,605137
11.048695,7.502848,367,407812
-6.6698017,9.266425,368,571757
3.7062812,26.076267,369,446481
38.979137,17.46466,370,641771
32.75691,24.895374,371,443558
-18.69388,-22.917269,372,491696
48.462135,-17.400293,373,547982
9.605411,48.415443,374,452252
-26.241177,34.51848,375,501981
-7.6735926,-20.224215,376,493114
-16.83892,-15.262193,377,502143
-2.6620636,-23.731688,378,606466
30.773792,-27.931162,379,452234
-23.274742,-1.6519676,380,493316
-21.424566,-12.763963,381,408314
48.23462,-2.0460086,382,518595
15.362121,8.965723,383,573131
10.8534975,51.8959,384,608061
31.608482,-25.622995,385,112526
-21.636198,19.407192,386,607309
-11.107518,-31.054785,387,503437
30.700842,11.398903,388,518542
14.237754,22.59809,389,544725
-35.147507,-36.048977,390,572821
-31.095612,-15.104442,391,460075
39.674217,-12.225836,392,455117
-1.3700817,-34.073944,393,547172
15.1046095,-21.342152,394,503449
-21.806353,15.308593,395,656546
19.560335,28.654179,396,605439
28.953075,-33.072906,397,425772
-26.899687,-24.583908,398,543685
-9.405045,-17.748056,399,571718
7.0297503,3.632276,400,500743
-22.998064,14.809292,401,572191
-21.441332,33.472492,402,543699
20.267975,24.692486,403,612672
-36.560905,12.814382,404,493596
-41.8397,-8.388046,405,491676
12.688797,-48.064545,406,621389
33.78004,1.8635511,407,477132
5.1459794,-11.850893,408,594828
-18.789932,10.144817,409,621043
0.113670774,15.4323845,410,493329
-16.19992,18.724546,411,492802
46.770126,-19.313095,412,457454
-44.328213,-23.870684,413,489232
-4.710006,-34.4478,414,430947
-14.379175,41.99595,415,570615
40.63861,-2.6219049,416,594760
-2.7088673,23.976103,417,519455
-28.918106,-3.921027,418,570481
23.454199,19.833078,419,547379
-25.272696,-27.15607,420,501659
34.379814,-18.547928,421,592731
-33.88877,36.363262,422,424325
-5.63933,0.3247991,423,452657
-44.642574,8.091304,424,534947
16.257648,-8.009336,425,476883
8.520434,-25.80925,426,519222
2.8881638,2.2488484,427,452104
-10.796986,-31.837017,428,516770
1.7379029,-37.884617,429,608701
9.082516,-33.972115,430,425900
33.645065,1.8297416,431,475253
14.494219,6.4552946,432,578570
30.208298,38.54484,433,456078
30.101011,-34.832542,434,571578
-28.47261,-13.663238,435,593647
-18.276472,-10.92528,436,429719
-11.924282,49.252903,437,640463
-17.184078,-11.8695965,438,608671
-38.774582,8.805581,439,543939
-34.746716,-1.6523893,440,593372
1.1771497,29.03925,441,607192
-6.96015,39.62301,442,571830
-48.053032,-7.401945,443,425784
17.895987,23.897314,444,594742
-40.724083,-12.329594,445,607229
-20.254974,1.4691846,446,460026
1.1621716,3.4510076,447,518452
5.9566264,-15.591128,448,608718
11.002528,-21.335903,449,518934
17.503765,6.2514973,450,592663
25.596159,28.580807,451,542303
-16.47074,-1.9552257,452,150029
10.010325,51.55944,453,488768
-30.691208,-10.851263,454,621035
38.724937,11.885717,455,434563
10.6005945,-46.95783,456,592808
-15.6804,-16.307962,457,518516
8.74536,-2.5928977,458,605509
-7.396674,9.677939,459,448179
-50.938633,-11.746866,460,488771
-15.189023,-15.072933,461,453203
-27.536837,-33.548496,462,593495
23.956736,1.1643159,463,474319
-8.925218,-35.151695,464,488818
2.378322,-25.330523,465,596057
19.167004,-33.681824,466,605538
16.48691,-5.1903906,467,609275
-26.89046,-20.67418,468,641531
-22.242144,41.554924,469,446386
-20.654987,-29.777063,470,543333
1.7280264,27.26494,471,595001
-3.156872,-10.051963,472,594772
-11.697107,-29.040197,473,592863
-33.25225,34.533966,474,458913
21.81164,-45.951607,475,453211
13.498189,9.966561,476,454560
22.556036,29.022762,477,466988
-25.434475,6.528751,478,547004
26.13964,-22.284237,479,503351
-37.82672,21.052572,480,518567
-29.575085,-20.969557,481,605396
-4.955539,-25.68196,482,476451
11.920274,-32.424442,483,571970
-18.768637,5.5954123,484,608672
24.950338,-0.6227407,485,474463
26.12637,-15.835635,486,543184
6.8535795,48.939198,487,628711
-0.037071582,39.325176,488,592620
-3.2002773,-17.165539,489,456501
-42.770622,9.532685,490,467827
27.752186,19.696066,491,592351
-7.285093,19.861961,492,502054
-13.534367,-19.1377,493,573185
41.02424,-7.710825,494,621052
-32.535835,-26.436954,495,474568
-20.058167,-7.3799357,496,467100
19.021997,-10.607848,497,501896
8.091824,-28.763428,498,642239
-35.07421,-7.761281,499,571918
32.397587,-39.058174,500,452672
23.870378,40.27342,501,598284
-19.358778,31.38499,502,625643
33.93431,11.810489,503,592662
-34.036255,21.3231,504,605452
-9.058473,-30.96393,505,607345
-12.964382,48.158302,506,605183
-47.637352,17.242603,507,608324
5.056058,47.101337,508,502034
7.1418552,13.868542,509,605388
36.932545,-28.154104,510,592314
-1.8569058,1.8256468,511,463610
-38.21045,-23.394815,512,607625
49.91059,6.7731752,513,570632
-25.943596,7.992167,514,477165
37.650845,27.641216,515,606131
-42.041508,-1.8808784,516,592254
1.6698942,-3.5215619,517,543022
14.148468,-30.49848,518,502188
-25.959322,15.629322,519,543101
3.749838,-11.4698715,520,502190
-19.437153,18.437988,521,592791
-6.1586504,-11.645847,522,453562
-45.441334,4.1915646,523,592407
-41.817276,15.762859,524,446381
-2.9720151,13.065474,525,460099
48.440445,18.584538,526,641820
8.22392,38.477932,527,572365
37.471024,-22.13161,528,571946
-6.1518025,50.552383,529,461829
-35.798958,1.9473456,530,596451
34.674477,-4.2882676,531,592789
38.99869,17.636143,532,435559
12.349651,-33.672894,533,572863
-14.048559,11.3780775,534,453923
-20.00669,-1.0632133,535,492841
5.222059,-46.609386,536,592444
-22.894772,16.56629,537,461865
-35.14365,25.066381,538,607385
18.447374,-11.876108,539,553988
22.076101,-31.005587,540,446192
-9.127794,12.562369,541,460269
21.797987,-50.097534,542,542583
18.509775,32.401604,543,408252
-7.023304,-33.070847,544,465041
-14.604984,-5.8902464,545,516782
11.518568,3.3561513,546,407793
19.40104,11.807115,547,405395
6.8604965,35.314552,548,543045
10.620361,8.039965,549,451705
-21.85286,4.889291,550,430910
-8.735359,-27.622574,551,608348
-50.357746,0.21694703,552,607257
15.206255,-20.600285,553,608379
-42.974518,19.179787,554,643327
33.84021,5.385587,555,467092
-17.024746,21.66619,556,595918
48.75953,13.719929,557,408045
-22.54222,-14.526979,558,623143
-18.770409,-23.089977,559,456488
-22.87861,-8.202101,560,501303
-6.8226686,-34.37412,561,607776
33.6234,-2.6055043,562,608325
22.226759,-13.290144,563,595751
