first,last,given,nick,id,full_name
Josh,Rojas,Joshua Luke,,668942,Josh Rojas
Adam,Frazier,Adam Timothy,,624428,Adam Frazier
Bronson,Arroyo,Bronson Anthony,,276520,Bronson Arroyo
Kyle,Kendrick,Kyle Rodney,,452718,Kyle Kendrick
Jae-gyun,Hwang,Jae-gyun,,666561,Jae-gyun Hwang
Alex,McRae,Alex James,,656725,Alex McRae
Mac,Sceroler,Joseph McDonald,,669135,Mac Sceroler
Tristan,Beck,Tristan Robert,,663941,Tristan Beck
Nick,Burdi,Nicholas Edward,,595897,Nick Burdi
Hunter,Gaddis,Hunter Reid,,683769,Hunter Gaddis
Chad,Green,Chad Keith,,643338,Chad Green
Steven,Duggar,Steven Michael,,621453,Steven Duggar
Jeff,Mathis,Jeffrey Stephen,,425772,Jeff Mathis
Kohl,Stewart,Kohl Robert,,640464,Kohl Stewart
Trent,Grisham,Trenton Marcus,,663757,Trent Grisham
Martín,Pérez,Martín,,527048,Martín Pérez
Casey,Schmitt,Casey Shawn,,669477,Casey Schmitt
Angel,Zerpa,Angel David,,672582,Angel Zerpa
Carlos,Pérez,Carlos Jesus,,656024,Carlos Pérez
Anthony,Misiewicz,Anthony,,664948,Anthony Misiewicz
Collin,McHugh,Collin Alexander,,543521,Collin McHugh
Norge,Ruíz,Norge Luis,,650204,Norge Ruíz
Rogelio,Armenteros,Rogelio,,660494,Rogelio Armenteros
Michel,Báez,Michel,,673258,Michel Báez
Sebastián,Rivero,Sebastián,,665861,Sebastián Rivero
Jason,Vargas,Jason Matthew,,450306,Jason Vargas
Noah,Syndergaard,Noah Seth,,592789,Noah Syndergaard
Sean,Murphy,Sean Michael,,669221,Sean Murphy
Jhonny,Peralta,Jhonny Antonio,,425509,Jhonny Peralta
Will,Harris,William Taylor,,501789,Will Harris
Alejandro,De Aza,Alejandro Alberto,,457477,Alejandro De Aza
Drew,Smith,Andrew David,,622098,Drew Smith
Keone,Kela,Keone Cole,,605309,Keone Kela
Thyago,Vieira,Thyago da Silva,,600986,Thyago Vieira
Marcus,Semien,Marcus Andrew,,543760,Marcus Semien
